year,state,month,number,date
1998,Pará,Novembro,1.861,01/01/1998
1999,Pará,Novembro,2.682,01/01/1999
2000,Pará,Novembro,3.366,01/01/2000
2001,Pará,Novembro,4.938,01/01/2001
2002,Pará,Novembro,7.996,01/01/2002
2003,Pará,Novembro,6.195,01/01/2003
2004,Pará,Novembro,9.842,01/01/2004
2005,Pará,Novembro,4.968,01/01/2005
2006,Pará,Novembro,2.883,01/01/2006
2007,Pará,Novembro,2.89,01/01/2007
2008,Pará,Novembro,2.403,01/01/2008
2009,Pará,Novembro,10.012,01/01/2009
2010,Pará,Novembro,4.417,01/01/2010
2011,Pará,Novembro,3.043,01/01/2011
2012,Pará,Novembro,6.156,01/01/2012
2013,Pará,Novembro,3.688,01/01/2013
2014,Pará,Novembro,7.767,01/01/2014
2015,Pará,Novembro,9.643,01/01/2015
2016,Pará,Novembro,7.879,01/01/2016
2017,Pará,Novembro,9.079,01/01/2017
1998,Pará,Dezembro,1.008,01/01/1998
1999,Pará,Dezembro,766,01/01/1999
2000,Pará,Dezembro,1.698,01/01/2000
2001,Pará,Dezembro,2.564,01/01/2001
2002,Pará,Dezembro,3.118,01/01/2002
2003,Pará,Dezembro,4.787,01/01/2003
2004,Pará,Dezembro,5.508,01/01/2004
2005,Pará,Dezembro,1.495,01/01/2005
2006,Pará,Dezembro,1.417,01/01/2006
2007,Pará,Dezembro,689,01/01/2007
2008,Pará,Dezembro,684,01/01/2008
2009,Pará,Dezembro,2.832,01/01/2009
2010,Pará,Dezembro,1.612,01/01/2010
2011,Pará,Dezembro,3.218,01/01/2011
2012,Pará,Dezembro,1.812,01/01/2012
2013,Pará,Dezembro,5.514,01/01/2013
2014,Pará,Dezembro,4.828,01/01/2014
2015,Pará,Dezembro,6.61,01/01/2015
2016,Pará,Dezembro,3.3,01/01/2016
1998,Paraiba,Janeiro,0,01/01/1998
1999,Paraiba,Janeiro,26,01/01/1999
2000,Paraiba,Janeiro,0,01/01/2000
2001,Paraiba,Janeiro,11,01/01/2001
2002,Paraiba,Janeiro,5,01/01/2002
2003,Paraiba,Janeiro,70,01/01/2003
2004,Paraiba,Janeiro,33,01/01/2004
2005,Paraiba,Janeiro,178,01/01/2005
2006,Paraiba,Janeiro,83,01/01/2006
2007,Paraiba,Janeiro,69,01/01/2007
2008,Paraiba,Janeiro,77,01/01/2008
2009,Paraiba,Janeiro,115,01/01/2009
2010,Paraiba,Janeiro,46,01/01/2010
2011,Paraiba,Janeiro,11,01/01/2011
2012,Paraiba,Janeiro,61,01/01/2012
2013,Paraiba,Janeiro,38,01/01/2013
2014,Paraiba,Janeiro,75,01/01/2014
2015,Paraiba,Janeiro,42,01/01/2015
2016,Paraiba,Janeiro,18,01/01/2016
2017,Paraiba,Janeiro,23,01/01/2017
1998,Paraiba,Fevereiro,0,01/01/1998
1999,Paraiba,Fevereiro,2,01/01/1999
2000,Paraiba,Fevereiro,11,01/01/2000
2001,Paraiba,Fevereiro,6,01/01/2001
2002,Paraiba,Fevereiro,18,01/01/2002
2003,Paraiba,Fevereiro,3,01/01/2003
2004,Paraiba,Fevereiro,3,01/01/2004
2005,Paraiba,Fevereiro,15,01/01/2005
2006,Paraiba,Fevereiro,7,01/01/2006
2007,Paraiba,Fevereiro,7,01/01/2007
2008,Paraiba,Fevereiro,20,01/01/2008
2009,Paraiba,Fevereiro,9,01/01/2009
2010,Paraiba,Fevereiro,15,01/01/2010
2011,Paraiba,Fevereiro,5,01/01/2011
2012,Paraiba,Fevereiro,15,01/01/2012
2013,Paraiba,Fevereiro,9,01/01/2013
2014,Paraiba,Fevereiro,6,01/01/2014
2015,Paraiba,Fevereiro,15,01/01/2015
2016,Paraiba,Fevereiro,4,01/01/2016
2017,Paraiba,Fevereiro,8,01/01/2017
1998,Paraiba,Março,0,01/01/1998
1999,Paraiba,Março,1,01/01/1999
2000,Paraiba,Março,5,01/01/2000
2001,Paraiba,Março,0,01/01/2001
2002,Paraiba,Março,3,01/01/2002
2003,Paraiba,Março,0,01/01/2003
2004,Paraiba,Março,3,01/01/2004
2005,Paraiba,Março,13,01/01/2005
2006,Paraiba,Março,4,01/01/2006
2007,Paraiba,Março,1,01/01/2007
2008,Paraiba,Março,8,01/01/2008
2009,Paraiba,Março,2,01/01/2009
2010,Paraiba,Março,16,01/01/2010
2011,Paraiba,Março,6,01/01/2011
2012,Paraiba,Março,4,01/01/2012
2013,Paraiba,Março,3,01/01/2013
2014,Paraiba,Março,18,01/01/2014
2015,Paraiba,Março,7,01/01/2015
2016,Paraiba,Março,1,01/01/2016
2017,Paraiba,Março,2,01/01/2017
1998,Paraiba,Abril,0,01/01/1998
1999,Paraiba,Abril,3,01/01/1999
2000,Paraiba,Abril,1,01/01/2000
2001,Paraiba,Abril,0,01/01/2001
2002,Paraiba,Abril,1,01/01/2002
2003,Paraiba,Abril,0,01/01/2003
2004,Paraiba,Abril,3,01/01/2004
2005,Paraiba,Abril,2,01/01/2005
2006,Paraiba,Abril,0,01/01/2006
2007,Paraiba,Abril,0,01/01/2007
2008,Paraiba,Abril,0,01/01/2008
2009,Paraiba,Abril,1,01/01/2009
2010,Paraiba,Abril,2,01/01/2010
2011,Paraiba,Abril,2,01/01/2011
2012,Paraiba,Abril,13,01/01/2012
2013,Paraiba,Abril,6,01/01/2013
2014,Paraiba,Abril,8,01/01/2014
2015,Paraiba,Abril,11,01/01/2015
2016,Paraiba,Abril,1,01/01/2016
2017,Paraiba,Abril,1,01/01/2017
1998,Paraiba,Maio,0,01/01/1998
1999,Paraiba,Maio,0,01/01/1999
2000,Paraiba,Maio,0,01/01/2000
2001,Paraiba,Maio,4,01/01/2001
2002,Paraiba,Maio,1,01/01/2002
2003,Paraiba,Maio,0,01/01/2003
2004,Paraiba,Maio,1,01/01/2004
2005,Paraiba,Maio,0,01/01/2005
2006,Paraiba,Maio,0,01/01/2006
2007,Paraiba,Maio,0,01/01/2007
2008,Paraiba,Maio,0,01/01/2008
2009,Paraiba,Maio,0,01/01/2009
2010,Paraiba,Maio,10,01/01/2010
2011,Paraiba,Maio,0,01/01/2011
2012,Paraiba,Maio,10,01/01/2012
2013,Paraiba,Maio,3,01/01/2013
2014,Paraiba,Maio,1,01/01/2014
2015,Paraiba,Maio,6,01/01/2015
2016,Paraiba,Maio,1,01/01/2016
2017,Paraiba,Maio,1,01/01/2017
1998,Paraiba,Junho,3,01/01/1998
1999,Paraiba,Junho,1,01/01/1999
2000,Paraiba,Junho,2,01/01/2000
2001,Paraiba,Junho,0,01/01/2001
2002,Paraiba,Junho,1,01/01/2002
2003,Paraiba,Junho,0,01/01/2003
2004,Paraiba,Junho,0,01/01/2004
2005,Paraiba,Junho,0,01/01/2005
2006,Paraiba,Junho,0,01/01/2006
2007,Paraiba,Junho,0,01/01/2007
2008,Paraiba,Junho,0,01/01/2008
2009,Paraiba,Junho,0,01/01/2009
2010,Paraiba,Junho,3,01/01/2010
2011,Paraiba,Junho,2,01/01/2011
2012,Paraiba,Junho,5,01/01/2012
2013,Paraiba,Junho,3,01/01/2013
2014,Paraiba,Junho,1,01/01/2014
2015,Paraiba,Junho,0,01/01/2015
2016,Paraiba,Junho,4,01/01/2016
2017,Paraiba,Junho,0,01/01/2017
1998,Paraiba,Julho,0,01/01/1998
1999,Paraiba,Julho,1,01/01/1999
2000,Paraiba,Julho,0,01/01/2000
2001,Paraiba,Julho,8,01/01/2001
2002,Paraiba,Julho,8,01/01/2002
2003,Paraiba,Julho,6,01/01/2003
2004,Paraiba,Julho,1,01/01/2004
2005,Paraiba,Julho,0,01/01/2005
2006,Paraiba,Julho,1,01/01/2006
2007,Paraiba,Julho,1,01/01/2007
2008,Paraiba,Julho,0,01/01/2008
2009,Paraiba,Julho,3,01/01/2009
2010,Paraiba,Julho,7,01/01/2010
2011,Paraiba,Julho,6,01/01/2011
2012,Paraiba,Julho,5,01/01/2012
2013,Paraiba,Julho,1,01/01/2013
2014,Paraiba,Julho,9,01/01/2014
2015,Paraiba,Julho,3,01/01/2015
2016,Paraiba,Julho,22,01/01/2016
2017,Paraiba,Julho,2,01/01/2017
1998,Paraiba,Agosto,3,01/01/1998
1999,Paraiba,Agosto,4,01/01/1999
2000,Paraiba,Agosto,7,01/01/2000
2001,Paraiba,Agosto,34,01/01/2001
2002,Paraiba,Agosto,38,01/01/2002
2003,Paraiba,Agosto,14,01/01/2003
2004,Paraiba,Agosto,18,01/01/2004
2005,Paraiba,Agosto,0,01/01/2005
2006,Paraiba,Agosto,3,01/01/2006
2007,Paraiba,Agosto,8,01/01/2007
2008,Paraiba,Agosto,1,01/01/2008
2009,Paraiba,Agosto,4,01/01/2009
2010,Paraiba,Agosto,9,01/01/2010
2011,Paraiba,Agosto,12,01/01/2011
2012,Paraiba,Agosto,13,01/01/2012
2013,Paraiba,Agosto,3,01/01/2013
2014,Paraiba,Agosto,30,01/01/2014
2015,Paraiba,Agosto,5,01/01/2015
2016,Paraiba,Agosto,50,01/01/2016
2017,Paraiba,Agosto,3,01/01/2017
1998,Paraiba,Setembro,50,01/01/1998
1999,Paraiba,Setembro,14,01/01/1999
2000,Paraiba,Setembro,9,01/01/2000
2001,Paraiba,Setembro,98,01/01/2001
2002,Paraiba,Setembro,63,01/01/2002
2003,Paraiba,Setembro,81,01/01/2003
2004,Paraiba,Setembro,34,01/01/2004
2005,Paraiba,Setembro,13,01/01/2005
2006,Paraiba,Setembro,27,01/01/2006
2007,Paraiba,Setembro,22,01/01/2007
2008,Paraiba,Setembro,21,01/01/2008
2009,Paraiba,Setembro,28,01/01/2009
2010,Paraiba,Setembro,37,01/01/2010
2011,Paraiba,Setembro,55,01/01/2011
2012,Paraiba,Setembro,71,01/01/2012
2013,Paraiba,Setembro,25,01/01/2013
2014,Paraiba,Setembro,51,01/01/2014
2015,Paraiba,Setembro,48,01/01/2015
2016,Paraiba,Setembro,131,01/01/2016
2017,Paraiba,Setembro,30,01/01/2017
1998,Paraiba,Outubro,179,01/01/1998
1999,Paraiba,Outubro,48,01/01/1999
2000,Paraiba,Outubro,125,01/01/2000
2001,Paraiba,Outubro,279,01/01/2001
2002,Paraiba,Outubro,193,01/01/2002
2003,Paraiba,Outubro,381,01/01/2003
2004,Paraiba,Outubro,190,01/01/2004
2005,Paraiba,Outubro,155,01/01/2005
2006,Paraiba,Outubro,135,01/01/2006
2007,Paraiba,Outubro,111,01/01/2007
2008,Paraiba,Outubro,80,01/01/2008
2009,Paraiba,Outubro,117,01/01/2009
2010,Paraiba,Outubro,150,01/01/2010
2011,Paraiba,Outubro,200,01/01/2011
2012,Paraiba,Outubro,136,01/01/2012
2013,Paraiba,Outubro,58,01/01/2013
2014,Paraiba,Outubro,70,01/01/2014
2015,Paraiba,Outubro,121,01/01/2015
2016,Paraiba,Outubro,304,01/01/2016
2017,Paraiba,Outubro,123,01/01/2017
1998,Paraiba,Novembro,46,01/01/1998
1999,Paraiba,Novembro,38,01/01/1999
2000,Paraiba,Novembro,65,01/01/2000
2001,Paraiba,Novembro,294,01/01/2001
2002,Paraiba,Novembro,238,01/01/2002
2003,Paraiba,Novembro,538,01/01/2003
2004,Paraiba,Novembro,331,01/01/2004
2005,Paraiba,Novembro,280,01/01/2005
2006,Paraiba,Novembro,215,01/01/2006
2007,Paraiba,Novembro,256,01/01/2007
2008,Paraiba,Novembro,175,01/01/2008
2009,Paraiba,Novembro,428,01/01/2009
2010,Paraiba,Novembro,451,01/01/2010
2011,Paraiba,Novembro,359,01/01/2011
2012,Paraiba,Novembro,130,01/01/2012
2013,Paraiba,Novembro,95,01/01/2013
2014,Paraiba,Novembro,111,01/01/2014
2015,Paraiba,Novembro,206,01/01/2015
2016,Paraiba,Novembro,132,01/01/2016
2017,Paraiba,Novembro,101,01/01/2017
1998,Paraiba,Dezembro,51,01/01/1998
1999,Paraiba,Dezembro,40,01/01/1999
2000,Paraiba,Dezembro,34,01/01/2000
2001,Paraiba,Dezembro,70,01/01/2001
2002,Paraiba,Dezembro,163,01/01/2002
2003,Paraiba,Dezembro,288,01/01/2003
2004,Paraiba,Dezembro,351,01/01/2004
2005,Paraiba,Dezembro,159,01/01/2005
2006,Paraiba,Dezembro,196,01/01/2006
2007,Paraiba,Dezembro,133,01/01/2007
2008,Paraiba,Dezembro,187,01/01/2008
2009,Paraiba,Dezembro,270,01/01/2009
2010,Paraiba,Dezembro,65,01/01/2010
2011,Paraiba,Dezembro,179,01/01/2011
2012,Paraiba,Dezembro,62,01/01/2012
2013,Paraiba,Dezembro,78,01/01/2013
2014,Paraiba,Dezembro,62,01/01/2014
2015,Paraiba,Dezembro,122,01/01/2015
2016,Paraiba,Dezembro,8,01/01/2016
1998,Paraiba,Janeiro,0,01/01/1998
1999,Paraiba,Janeiro,7,01/01/1999
2000,Paraiba,Janeiro,49,01/01/2000
2001,Paraiba,Janeiro,32,01/01/2001
2002,Paraiba,Janeiro,47,01/01/2002
2003,Paraiba,Janeiro,109,01/01/2003
2004,Paraiba,Janeiro,88,01/01/2004
2005,Paraiba,Janeiro,55,01/01/2005
2006,Paraiba,Janeiro,78,01/01/2006
2007,Paraiba,Janeiro,11,01/01/2007
2008,Paraiba,Janeiro,35,01/01/2008
2009,Paraiba,Janeiro,35,01/01/2009
2010,Paraiba,Janeiro,18,01/01/2010
2011,Paraiba,Janeiro,35,01/01/2011
2012,Paraiba,Janeiro,31,01/01/2012
2013,Paraiba,Janeiro,28,01/01/2013
2014,Paraiba,Janeiro,86,01/01/2014
2015,Paraiba,Janeiro,120,01/01/2015
2016,Paraiba,Janeiro,113,01/01/2016
2017,Paraiba,Janeiro,55,01/01/2017
1998,Paraiba,Fevereiro,0,01/01/1998
1999,Paraiba,Fevereiro,22,01/01/1999
2000,Paraiba,Fevereiro,67,01/01/2000
2001,Paraiba,Fevereiro,8,01/01/2001
2002,Paraiba,Fevereiro,24,01/01/2002
2003,Paraiba,Fevereiro,46,01/01/2003
2004,Paraiba,Fevereiro,42,01/01/2004
2005,Paraiba,Fevereiro,77,01/01/2005
2006,Paraiba,Fevereiro,60,01/01/2006
2007,Paraiba,Fevereiro,32,01/01/2007
2008,Paraiba,Fevereiro,38,01/01/2008
2009,Paraiba,Fevereiro,21,01/01/2009
2010,Paraiba,Fevereiro,46,01/01/2010
2011,Paraiba,Fevereiro,8,01/01/2011
2012,Paraiba,Fevereiro,40,01/01/2012
2013,Paraiba,Fevereiro,9,01/01/2013
2014,Paraiba,Fevereiro,52,01/01/2014
2015,Paraiba,Fevereiro,58,01/01/2015
2016,Paraiba,Fevereiro,31,01/01/2016
2017,Paraiba,Fevereiro,60,01/01/2017
1998,Paraiba,Março,0,01/01/1998
1999,Paraiba,Março,40,01/01/1999
2000,Paraiba,Março,52,01/01/2000
2001,Paraiba,Março,12,01/01/2001
2002,Paraiba,Março,18,01/01/2002
2003,Paraiba,Março,76,01/01/2003
2004,Paraiba,Março,83,01/01/2004
2005,Paraiba,Março,84,01/01/2005
2006,Paraiba,Março,56,01/01/2006
2007,Paraiba,Março,54,01/01/2007
2008,Paraiba,Março,43,01/01/2008
2009,Paraiba,Março,57,01/01/2009
2010,Paraiba,Março,22,01/01/2010
2011,Paraiba,Março,21,01/01/2011
2012,Paraiba,Março,55,01/01/2012
2013,Paraiba,Março,18,01/01/2013
2014,Paraiba,Março,42,01/01/2014
2015,Paraiba,Março,55,01/01/2015
2016,Paraiba,Março,63,01/01/2016
2017,Paraiba,Março,43,01/01/2017
1998,Paraiba,Abril,0,01/01/1998
1999,Paraiba,Abril,39,01/01/1999
2000,Paraiba,Abril,51,01/01/2000
2001,Paraiba,Abril,43,01/01/2001
2002,Paraiba,Abril,84,01/01/2002
2003,Paraiba,Abril,130,01/01/2003
2004,Paraiba,Abril,68,01/01/2004
2005,Paraiba,Abril,22,01/01/2005
2006,Paraiba,Abril,49,01/01/2006
2007,Paraiba,Abril,14,01/01/2007
2008,Paraiba,Abril,62,01/01/2008
2009,Paraiba,Abril,80,01/01/2009
2010,Paraiba,Abril,71,01/01/2010
2011,Paraiba,Abril,38,01/01/2011
2012,Paraiba,Abril,38,01/01/2012
2013,Paraiba,Abril,72,01/01/2013
2014,Paraiba,Abril,38,01/01/2014
2015,Paraiba,Abril,83,01/01/2015
2016,Paraiba,Abril,167,01/01/2016
2017,Paraiba,Abril,77,01/01/2017
1998,Paraiba,Maio,0,01/01/1998
1999,Paraiba,Maio,57,01/01/1999
2000,Paraiba,Maio,43,01/01/2000
2001,Paraiba,Maio,26,01/01/2001
2002,Paraiba,Maio,65,01/01/2002
2003,Paraiba,Maio,115,01/01/2003
2004,Paraiba,Maio,9,01/01/2004
2005,Paraiba,Maio,125,01/01/2005
2006,Paraiba,Maio,90,01/01/2006
2007,Paraiba,Maio,14,01/01/2007
2008,Paraiba,Maio,41,01/01/2008
2009,Paraiba,Maio,117,01/01/2009
2010,Paraiba,Maio,39,01/01/2010
2011,Paraiba,Maio,97,01/01/2011
2012,Paraiba,Maio,86,01/01/2012
2013,Paraiba,Maio,85,01/01/2013
2014,Paraiba,Maio,109,01/01/2014
2015,Paraiba,Maio,77,01/01/2015
2016,Paraiba,Maio,72,01/01/2016
2017,Paraiba,Maio,49,01/01/2017
1998,Paraiba,Junho,36,01/01/1998
1999,Paraiba,Junho,31,01/01/1999
2000,Paraiba,Junho,53,01/01/2000
2001,Paraiba,Junho,43,01/01/2001
2002,Paraiba,Junho,115,01/01/2002
2003,Paraiba,Junho,159,01/01/2003
2004,Paraiba,Junho,147,01/01/2004
2005,Paraiba,Junho,114,01/01/2005
2006,Paraiba,Junho,62,01/01/2006
2007,Paraiba,Junho,57,01/01/2007
2008,Paraiba,Junho,17,01/01/2008
2009,Paraiba,Junho,105,01/01/2009
2010,Paraiba,Junho,55,01/01/2010
2011,Paraiba,Junho,162,01/01/2011
2012,Paraiba,Junho,77,01/01/2012
2013,Paraiba,Junho,52,01/01/2013
2014,Paraiba,Junho,112,01/01/2014
2015,Paraiba,Junho,201,01/01/2015
2016,Paraiba,Junho,238,01/01/2016
2017,Paraiba,Junho,169,01/01/2017
1998,Paraiba,Julho,59,01/01/1998
1999,Paraiba,Julho,94,01/01/1999
2000,Paraiba,Julho,98,01/01/2000
2001,Paraiba,Julho,122,01/01/2001
2002,Paraiba,Julho,172,01/01/2002
2003,Paraiba,Julho,101,01/01/2003
2004,Paraiba,Julho,148,01/01/2004
2005,Paraiba,Julho,155,01/01/2005
2006,Paraiba,Julho,139,01/01/2006
2007,Paraiba,Julho,60,01/01/2007
2008,Paraiba,Julho,87,01/01/2008
2009,Paraiba,Julho,34,01/01/2009
2010,Paraiba,Julho,196,01/01/2010
2011,Paraiba,Julho,262,01/01/2011
2012,Paraiba,Julho,111,01/01/2012
2013,Paraiba,Julho,168,01/01/2013
2014,Paraiba,Julho,215,01/01/2014
2015,Paraiba,Julho,137,01/01/2015
2016,Paraiba,Julho,504,01/01/2016
2017,Paraiba,Julho,891,01/01/2017
1998,Paraiba,Agosto,42,01/01/1998
1999,Paraiba,Agosto,938,01/01/1999
2000,Paraiba,Agosto,849,01/01/2000
2001,Paraiba,Agosto,342,01/01/2001
2002,Paraiba,Agosto,1.593,01/01/2002
2003,Paraiba,Agosto,1.896,01/01/2003
2004,Paraiba,Agosto,1.237,01/01/2004
2005,Paraiba,Agosto,800,01/01/2005
2006,Paraiba,Agosto,844,01/01/2006
2007,Paraiba,Agosto,580,01/01/2007
2008,Paraiba,Agosto,205,01/01/2008
2009,Paraiba,Agosto,844,01/01/2009
2010,Paraiba,Agosto,733,01/01/2010
2011,Paraiba,Agosto,435,01/01/2011
2012,Paraiba,Agosto,522,01/01/2012
2013,Paraiba,Agosto,481,01/01/2013
2014,Paraiba,Agosto,646,01/01/2014
2015,Paraiba,Agosto,651,01/01/2015
2016,Paraiba,Agosto,1.01,01/01/2016
2017,Paraiba,Agosto,987,01/01/2017
1998,Paraiba,Setembro,61,01/01/1998
1999,Paraiba,Setembro,878,01/01/1999
2000,Paraiba,Setembro,381,01/01/2000
2001,Paraiba,Setembro,258,01/01/2001
2002,Paraiba,Setembro,1.071,01/01/2002
2003,Paraiba,Setembro,2.446,01/01/2003
2004,Paraiba,Setembro,1.36,01/01/2004
2005,Paraiba,Setembro,386,01/01/2005
2006,Paraiba,Setembro,866,01/01/2006
2007,Paraiba,Setembro,960,01/01/2007
2008,Paraiba,Setembro,413,01/01/2008
2009,Paraiba,Setembro,149,01/01/2009
2010,Paraiba,Setembro,270,01/01/2010
2011,Paraiba,Setembro,913,01/01/2011
2012,Paraiba,Setembro,459,01/01/2012
2013,Paraiba,Setembro,476,01/01/2013
2014,Paraiba,Setembro,443,01/01/2014
2015,Paraiba,Setembro,599,01/01/2015
2016,Paraiba,Setembro,1.371,01/01/2016
2017,Paraiba,Setembro,1.706,01/01/2017
1998,Paraiba,Outubro,61,01/01/1998
1999,Paraiba,Outubro,452,01/01/1999
2000,Paraiba,Outubro,658,01/01/2000
2001,Paraiba,Outubro,209,01/01/2001
2002,Paraiba,Outubro,399,01/01/2002
2003,Paraiba,Outubro,1.228,01/01/2003
2004,Paraiba,Outubro,666,01/01/2004
2005,Paraiba,Outubro,157,01/01/2005
2006,Paraiba,Outubro,327,01/01/2006
2007,Paraiba,Outubro,194,01/01/2007
2008,Paraiba,Outubro,78,01/01/2008
2009,Paraiba,Outubro,424,01/01/2009
2010,Paraiba,Outubro,230,01/01/2010
2011,Paraiba,Outubro,256,01/01/2011
2012,Paraiba,Outubro,145,01/01/2012
2013,Paraiba,Outubro,233,01/01/2013
2014,Paraiba,Outubro,411,01/01/2014
2015,Paraiba,Outubro,158,01/01/2015
2016,Paraiba,Outubro,193,01/01/2016
2017,Paraiba,Outubro,134,01/01/2017
1998,Paraiba,Novembro,143,01/01/1998
1999,Paraiba,Novembro,447,01/01/1999
2000,Paraiba,Novembro,85,01/01/2000
2001,Paraiba,Novembro,89,01/01/2001
2002,Paraiba,Novembro,425,01/01/2002
2003,Paraiba,Novembro,503,01/01/2003
2004,Paraiba,Novembro,388,01/01/2004
2005,Paraiba,Novembro,597,01/01/2005
2006,Paraiba,Novembro,60,01/01/2006
2007,Paraiba,Novembro,59,01/01/2007
2008,Paraiba,Novembro,39,01/01/2008
2009,Paraiba,Novembro,90,01/01/2009
2010,Paraiba,Novembro,183,01/01/2010
2011,Paraiba,Novembro,138,01/01/2011
2012,Paraiba,Novembro,142,01/01/2012
2013,Paraiba,Novembro,126,01/01/2013
2014,Paraiba,Novembro,68,01/01/2014
2015,Paraiba,Novembro,18,01/01/2015
2016,Paraiba,Novembro,275,01/01/2016
2017,Paraiba,Novembro,292,01/01/2017
1998,Paraiba,Dezembro,82,01/01/1998
1999,Paraiba,Dezembro,254,01/01/1999
2000,Paraiba,Dezembro,159,01/01/2000
2001,Paraiba,Dezembro,85,01/01/2001
2002,Paraiba,Dezembro,165,01/01/2002
2003,Paraiba,Dezembro,171,01/01/2003
2004,Paraiba,Dezembro,151,01/01/2004
2005,Paraiba,Dezembro,40,01/01/2005
2006,Paraiba,Dezembro,6,01/01/2006
2007,Paraiba,Dezembro,22,01/01/2007
2008,Paraiba,Dezembro,62,01/01/2008
2009,Paraiba,Dezembro,30,01/01/2009
2010,Paraiba,Dezembro,37,01/01/2010
2011,Paraiba,Dezembro,78,01/01/2011
2012,Paraiba,Dezembro,54,01/01/2012
2013,Paraiba,Dezembro,155,01/01/2013
2014,Paraiba,Dezembro,78,01/01/2014
2015,Paraiba,Dezembro,30,01/01/2015
2016,Paraiba,Dezembro,45,01/01/2016
1998,Pernambuco,Janeiro,0,01/01/1998
1999,Pernambuco,Janeiro,102,01/01/1999
2000,Pernambuco,Janeiro,3,01/01/2000
2001,Pernambuco,Janeiro,7,01/01/2001
2002,Pernambuco,Janeiro,10,01/01/2002
2003,Pernambuco,Janeiro,188,01/01/2003
2004,Pernambuco,Janeiro,29,01/01/2004
2005,Pernambuco,Janeiro,221,01/01/2005
2006,Pernambuco,Janeiro,148,01/01/2006
2007,Pernambuco,Janeiro,156,01/01/2007
2008,Pernambuco,Janeiro,170,01/01/2008
2009,Pernambuco,Janeiro,256,01/01/2009
2010,Pernambuco,Janeiro,47,01/01/2010
2011,Pernambuco,Janeiro,49,01/01/2011
2012,Pernambuco,Janeiro,146,01/01/2012
2013,Pernambuco,Janeiro,55,01/01/2013
2014,Pernambuco,Janeiro,99,01/01/2014
2015,Pernambuco,Janeiro,109,01/01/2015
2016,Pernambuco,Janeiro,24,01/01/2016
2017,Pernambuco,Janeiro,52,01/01/2017
1998,Pernambuco,Fevereiro,0,01/01/1998
1999,Pernambuco,Fevereiro,13,01/01/1999
2000,Pernambuco,Fevereiro,4,01/01/2000
2001,Pernambuco,Fevereiro,2,01/01/2001
2002,Pernambuco,Fevereiro,19,01/01/2002
2003,Pernambuco,Fevereiro,35,01/01/2003
2004,Pernambuco,Fevereiro,8,01/01/2004
2005,Pernambuco,Fevereiro,33,01/01/2005
2006,Pernambuco,Fevereiro,41,01/01/2006
2007,Pernambuco,Fevereiro,21,01/01/2007
2008,Pernambuco,Fevereiro,48,01/01/2008
2009,Pernambuco,Fevereiro,28,01/01/2009
2010,Pernambuco,Fevereiro,33,01/01/2010
2011,Pernambuco,Fevereiro,25,01/01/2011
2012,Pernambuco,Fevereiro,64,01/01/2012
2013,Pernambuco,Fevereiro,29,01/01/2013
2014,Pernambuco,Fevereiro,25,01/01/2014
2015,Pernambuco,Fevereiro,55,01/01/2015
2016,Pernambuco,Fevereiro,19,01/01/2016
2017,Pernambuco,Fevereiro,23,01/01/2017
1998,Pernambuco,Março,0,01/01/1998
1999,Pernambuco,Março,27,01/01/1999
2000,Pernambuco,Março,14,01/01/2000
2001,Pernambuco,Março,0,01/01/2001
2002,Pernambuco,Março,24,01/01/2002
2003,Pernambuco,Março,9,01/01/2003
2004,Pernambuco,Março,6,01/01/2004
2005,Pernambuco,Março,45,01/01/2005
2006,Pernambuco,Março,18,01/01/2006
2007,Pernambuco,Março,4,01/01/2007
2008,Pernambuco,Março,32,01/01/2008
2009,Pernambuco,Março,15,01/01/2009
2010,Pernambuco,Março,59,01/01/2010
2011,Pernambuco,Março,39,01/01/2011
2012,Pernambuco,Março,44,01/01/2012
2013,Pernambuco,Março,40,01/01/2013
2014,Pernambuco,Março,36,01/01/2014
2015,Pernambuco,Março,33,01/01/2015
2016,Pernambuco,Março,4,01/01/2016
2017,Pernambuco,Março,7,01/01/2017
1998,Pernambuco,Abril,0,01/01/1998
1999,Pernambuco,Abril,2,01/01/1999
2000,Pernambuco,Abril,1,01/01/2000
2001,Pernambuco,Abril,2,01/01/2001
2002,Pernambuco,Abril,5,01/01/2002
2003,Pernambuco,Abril,7,01/01/2003
2004,Pernambuco,Abril,5,01/01/2004
2005,Pernambuco,Abril,1,01/01/2005
2006,Pernambuco,Abril,2,01/01/2006
2007,Pernambuco,Abril,1,01/01/2007
2008,Pernambuco,Abril,5,01/01/2008
2009,Pernambuco,Abril,3,01/01/2009
2010,Pernambuco,Abril,2,01/01/2010
2011,Pernambuco,Abril,22,01/01/2011
2012,Pernambuco,Abril,46,01/01/2012
2013,Pernambuco,Abril,11,01/01/2013
2014,Pernambuco,Abril,10,01/01/2014
2015,Pernambuco,Abril,30,01/01/2015
2016,Pernambuco,Abril,8,01/01/2016
2017,Pernambuco,Abril,9,01/01/2017
1998,Pernambuco,Maio,0,01/01/1998
1999,Pernambuco,Maio,6,01/01/1999
2000,Pernambuco,Maio,7,01/01/2000
2001,Pernambuco,Maio,5,01/01/2001
2002,Pernambuco,Maio,13,01/01/2002
2003,Pernambuco,Maio,1,01/01/2003
2004,Pernambuco,Maio,2,01/01/2004
2005,Pernambuco,Maio,1,01/01/2005
2006,Pernambuco,Maio,1,01/01/2006
