ID,Mountain Peak,Mountain Range,Elevation_ft,fourteener,Prominence_ft,Isolation_mi,Lat,Long,Standard Route,Distance_mi,Elevation Gain_ft,Difficulty,Traffic Low,Traffic High,photo
17,Mount Shavano,Sawatch Range,14231,Y,1619,3.78,38.6192,-106.2393,East Slopes ,9,4600,Class 2,5000,7000,https://www.14ers.com/photos/shavanogroup/peakphotos/large/200804_Shav01.jpg
18,Mount Princeton,Sawatch Range,14204,Y,2177,5.19,38.7492,-106.2424,East Slopes ,6.5,3200,Class 2,5000,7000,https://www.14ers.com/photos/mtprinceton/peakphotos/large/200904_Prin01.jpg
19,Mount Belford,Sawatch Range,14203,Y,1337,3.3,38.9607,-106.3607,Northwest Ridge ,8,4500,Class 2,5000,7000,https://www.14ers.com/photos/belfordgroup/peakphotos/large/201204_Belf01.jpg
20,Crestone Needle,Sangre de Cristo Range,14203,Y,457,0.45,37.9647,-105.5766,South Face ,12,4400,Class 3,1000,3000,https://www.14ers.com/photos/crestonegroup/peakphotos/large/201104_CNeed01.jpg
21,Mount Yale,Sawatch Range,14200,Y,1896,5.55,38.8442,-106.3138,Southwest Slopes ,9.5,4300,Class 2,5000,7000,https://www.14ers.com/photos/mtyale/peakphotos/large/201004_Yale02.jpg
22,Mount Bross,Mosquito Range,14178,Y,312,0.99,39.3354,-106.1077,West Slopes ,3.25,2250,Class 2,15000,20000,https://www.14ers.com/photos/lincolngroup/peakphotos/large/200505_Bross01.jpg
23,Kit Carson Mountain,Sangre de Cristo Range,14171,Y,1025,1.27,37.9797,-105.6026,Via Challenger Point ,14.5,6250,Easy Class 3,1000,3000,https://www.14ers.com/photos/kitcarsongroup/peakphotos/large/201107_kitcar02.jpg
24,Maroon Peak,Elk Mountains,14163,Y,2336,8.06,39.0708,-106.989,South ridge ,11.5,4800,Class 3,1000,3000,https://www.14ers.com/photos/maroongroup/peakphotos/large/201807_Maro02.jpg
25,Tabeguache Peak,Sawatch Range,14162,Y,455,0.75,38.6255,-106.2509,Via Mount Shavano ,11,5600,Class 2,5000,7000,https://www.14ers.com/photos/shavanogroup/peakphotos/large/201005_Tabe01.jpg
26,Mount Oxford (Colorado),Sawatch Range,14160,Y,653,1.22,38.9648,-106.3388,Via Mount Belford ,11,5800,Class 2,5000,7000,https://www.14ers.com/photos/belfordgroup/peakphotos/large/200508_Oxfo01.jpg
27,Mount Sneffels,San Juan Mountains,14158,Y,3050,15.73,38.0038,-107.7923,South Slopes ,6,2900,Easy Class 3,3000,5000,https://www.14ers.com/photos/mtsneffels/peakphotos/large/200808_Snef23.jpg
28,Mount Democrat,Mosquito Range,14155,Y,768,1.27,39.3396,-106.14,East Slope ,4,2150,Class 2,15000,20000,https://www.14ers.com/photos/lincolngroup/peakphotos/large/201706_Demo01.jpg
29,Capitol Peak,Elk Mountains,14137,Y,1750,7.44,39.1503,-107.0829,Northeast Ridge ,17,5300,Class 4,1000,3000,https://www.14ers.com/photos/capitolpeak/peakphotos/large/200807_Capi02.jpg
30,Pikes Peak,Front Range,14115,Y,5530,60.8,38.8405,-105.0442,East Slopes ,26,7500,Class 1,15000,20000,https://www.14ers.com/photos/pikespeak/peakphotos/large/201506_Pikes01.jpg
31,Snowmass Mountain,Elk Mountains,14099,Y,1152,2.34,39.1188,-107.0665,East Slopes ,22,5800,Hard Class 3,1000,3000,https://www.14ers.com/photos/snowmassmtn/peakphotos/large/200907_Snow01.jpg
